time inst | proc1             | proc2             | proc3             | proc4             | proc5             
1         |                   | F0,F1,F2          |                   |                   |                   
2         |                   | F0,F1,F2          | F3,F4             |                   |                   
3         |                   | F0,F1,F2          | F3,F4             |                   |                   
4         | F5,F6,F7          | F0,F1,F2          | F3,F4             |                   |                   
5         | F5,F6,F7          | F0,F1,F2          | F3,F4             |                   | F8,F9             
6         | F5,F6,F7          | F0,F1,F2          | F3,F4             |                   | F8,F9             
7         | F5,F6,F7          |                   | F3,F4             | F0,F1,F2          | F8,F9             
8         | F5,F6,F7          |                   | F3,F4             | F0,F1,F2          | F8,F9             
9         | F5,F6,F7          |                   | F3,F4             | F0,F1,F2          | F8,F9             
10        | F6,F7             | F3,F4,F5          |                   | F0,F1,F2          | F8,F9             
11        | F6,F7             | F3,F4,F5          |                   | F0,F1,F2          | F8,F9             
12        | F6,F7             | F3,F4,F5          |                   | F0,F1,F2          | F8,F9             
