time inst | proc1             | proc2             | proc3             | proc4             | proc5             | proc6             | proc7             
1         | F0,F1             |                   |                   |                   |                   |                   |                   
2         | F0,F1             | F2,F3             |                   |                   |                   |                   |                   
3         | F0,F1             | F2,F3             | F4                |                   |                   |                   |                   
4         | F0,F1             | F2,F3             | F4                | F5                |                   |                   |                   
5         | F0,F1             | F2,F3             | F4                | F5                | F6,F7             |                   |                   
6         | F0,F1             | F2,F3             | F4                | F5                | F6,F7             |                   |                   
7         | F0,F1             | F2,F3             | F4                | F5                | F6,F7             |                   |                   
8         | F0,F1             | F2,F3             | F4                | F5                | F6,F7             |                   |                   
9         | F0,F1             | F2,F3             | F4                | F5                | F6,F7             |                   | F8,F9             
10        | F1                | F2,F3             | F4                | F5                | F6,F7             | F0                | F8,F9             
11        | F1                | F2,F3             | F4                | F5                | F6,F7             | F0                | F8,F9             
12        | F1                | F2,F3             | F4                | F5                | F6,F7             | F0                | F8,F9             
13        | F1                | F2,F3             | F4                | F5                | F6,F7             | F0                | F8,F9             
14        | F1,F2             | F3                | F4                | F5                | F6,F7             | F0                | F8,F9             
15        | F1,F2             | F3                | F4                | F5                | F6,F7             | F0                | F8,F9             
16        | F1,F2             | F3,F4             |                   | F5                | F6,F7             | F0                | F8,F9             
17        | F1,F2             | F3,F4             |                   | F5                | F6,F7             | F0                | F8,F9             
18        | F1,F2             | F3,F4             |                   | F5                | F6,F7             | F0                | F8,F9             
