time inst | proc1             | proc2             | proc3             
1         | F0,F1,F2,F3,F4    |                   |                   
2         | F1,F2,F3,F4       | F5,F6,F7,F8,F9,F0 |                   
3         |                   | F6,F7,F8,F9,F0    | F1,F2,F3,F4,F5    
4         |                   | F6,F7,F8,F9,F0    | F1,F2,F3,F4,F5    
5         |                   | F6,F7,F8,F9,F0,F1 | F2,F3,F4,F5       
6         | F2,F3,F4,F5,F6    | F7,F8,F9,F0,F1    |                   
7         | F2,F3,F4,F5,F6    | F7,F8,F9,F0,F1    |                   
8         | F3,F4,F5,F6       | F7,F8,F9,F0,F1,F2 |                   
9         | F3,F4,F5,F6,F7    | F8,F9,F0,F1,F2    |                   
10        | F3,F4,F5,F6,F7    |                   | F8,F9,F0,F1,F2    
