time inst | th1                                  | th2                                  | th3                                  
1         |                                      | EXECUTING (F0,F1,F2,F3,F4,F5)        |                                      
2         | READY (F0,F1,F2,F3,F4,F5)            | EXECUTING (F0,F1,F2,F3,F4,F5)        |                                      
3         | READY (F0,F1,F2,F3,F4,F5)            | EXECUTING (F0,F1,F2,F3,F4,F5)        |                                      
4         | READY (F0,F1,F2,F3,F4,F5)            | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             
5         | EXECUTING (F0,F1,F2,F3,F4,F5)        | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             
6         | EXECUTING (F0,F1,F2,F3,F4,F5)        | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             
7         | INTERRUPTIBLE (F0,F1,F2,F3,F4,F5)    | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             
8         | INTERRUPTIBLE (F0,F1,F2,F3,F4,F5)    | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             
9         | READY (F0,F1,F2,F3,F4,F5)            | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             
10        | SWRDY (F1,F2,F3,F4,F5)               | SWRDY (F1,F2,F3,F4,F5)               | EXECUTING (F6,F7,F8,F9,F0)           
11        | SWRDY (F1,F2,F3,F4,F5)               | SWRDY (F1,F2,F3,F4,F5)               | EXECUTING (F6,F7,F8,F9,F0)           
12        | SWRDY (F1,F2,F3,F4,F5)               | SWRDY (F1,F2,F3,F4,F5)               | INTERRUPTIBLE (F6,F7,F8,F9,F0)       
13        | SWRDY (F1,F2,F3,F4,F5)               | SWRDY (F1,F2,F3,F4,F5)               | READY (F6,F7,F8,F9,F0)               
14        | SWRDY (F1,F2,F3,F4,F5)               | SWRDY (F1,F2,F3,F4,F5)               | READY (F6,F7,F8,F9,F0)               
15        | READY (F1,F2,F3,F4,F5,F6)            | EXECUTING (F1,F2,F3,F4,F5,F6)        | SWRDY (F7,F8,F9,F0)                  
16        | READY (F1,F2,F3,F4,F5,F6)            | INTERRUPTIBLE (F1,F2,F3,F4,F5,F6)    | SWRDY (F7,F8,F9,F0)                  
17        | EXECUTING (F1,F2,F3,F4,F5,F6)        | INTERRUPTIBLE (F1,F2,F3,F4,F5,F6)    | SWRDY (F7,F8,F9,F0)                  
18        | EXECUTING (F1,F2,F3,F4,F5,F6)        | READY (F1,F2,F3,F4,F5,F6)            | SWRDY (F7,F8,F9,F0)                  
19        | EXECUTING (F1,F2,F3,F4,F5,F6)        | READY (F1,F2,F3,F4,F5,F6)            | SWRDY (F7,F8,F9,F0)                  
20        | READY (F1,F2,F3,F4,F5,F6)            | READY (F1,F2,F3,F4,F5,F6)            | SWRDY (F7,F8,F9,F0)                  
21        | READY (F1,F2,F3,F4,F5,F6)            | READY (F1,F2,F3,F4,F5,F6)            | SWRDY (F7,F8,F9,F0)                  
22        | READY (F1,F2,F3,F4,F5,F6)            | READY (F1,F2,F3,F4,F5,F6)            | SWRDY (F7,F8,F9,F0)                  
23        | SWRDY (F2,F3,F4,F5,F6)               | SWRDY (F2,F3,F4,F5,F6)               | EXECUTING (F7,F8,F9,F0,F1)           
24        | SWRDY (F2,F3,F4,F5,F6)               | SWRDY (F2,F3,F4,F5,F6)               | EXECUTING (F7,F8,F9,F0,F1)           
25        | SWRDY (F2,F3,F4,F5,F6)               | SWRDY (F2,F3,F4,F5,F6)               | EXECUTING (F7,F8,F9,F0,F1)           
26        | SWRDY (F2,F3,F4,F5,F6)               | SWRDY (F2,F3,F4,F5,F6)               | READY (F7,F8,F9,F0,F1)               
27        | SWRDY (F2,F3,F4,F5,F6)               | SWRDY (F2,F3,F4,F5,F6)               | READY (F7,F8,F9,F0,F1)               
28        | SWRDY (F2,F3,F4,F5,F6)               | SWRDY (F2,F3,F4,F5,F6)               | READY (F7,F8,F9,F0,F1)               
29        | READY (F2,F3,F4,F5,F6,F7)            | EXECUTING (F2,F3,F4,F5,F6,F7)        | SWRDY (F8,F9,F0,F1)                  
30        | READY (F2,F3,F4,F5,F6,F7)            | EXECUTING (F2,F3,F4,F5,F6,F7)        | SWRDY (F8,F9,F0,F1)                  
31        | READY (F2,F3,F4,F5,F6,F7)            | INTERRUPTIBLE (F2,F3,F4,F5,F6,F7)    | SWRDY (F8,F9,F0,F1)                  
32        | EXECUTING (F2,F3,F4,F5,F6,F7)        | INTERRUPTIBLE (F2,F3,F4,F5,F6,F7)    | SWRDY (F8,F9,F0,F1)                  
33        | INTERRUPTIBLE (F2,F3,F4,F5,F6,F7)    | READY (F2,F3,F4,F5,F6,F7)            | SWRDY (F8,F9,F0,F1)                  
34        | READY (F2,F3,F4,F5,F6,F7)            | READY (F2,F3,F4,F5,F6,F7)            | SWRDY (F8,F9,F0,F1)                  
35        | READY (F2,F3,F4,F5,F6,F7)            | READY (F2,F3,F4,F5,F6,F7)            | SWRDY (F8,F9,F0,F1)                  
36        | SWRDY (F3,F4,F5,F6,F7)               | SWRDY (F3,F4,F5,F6,F7)               | EXECUTING (F8,F9,F0,F1,F2)           
37        | SWRDY (F3,F4,F5,F6,F7)               | SWRDY (F3,F4,F5,F6,F7)               | EXECUTING (F8,F9,F0,F1,F2)           
38        | SWRDY (F3,F4,F5,F6,F7)               | SWRDY (F3,F4,F5,F6,F7)               | EXECUTING (F8,F9,F0,F1,F2)           
39        | SWRDY (F3,F4,F5,F6,F7)               | SWRDY (F3,F4,F5,F6,F7)               | INTERRUPTIBLE (F8,F9,F0,F1,F2)       
40        | SWRDY (F3,F4,F5,F6,F7)               | SWRDY (F3,F4,F5,F6,F7)               | READY (F8,F9,F0,F1,F2)               
41        | SWRDY (F3,F4,F5,F6,F7)               | SWRDY (F3,F4,F5,F6,F7)               | READY (F8,F9,F0,F1,F2)               
42        | READY (F3,F4,F5,F6,F7,F8)            | EXECUTING (F3,F4,F5,F6,F7,F8)        | SWRDY (F9,F0,F1,F2)                  
43        | READY (F3,F4,F5,F6,F7,F8)            | EXECUTING (F3,F4,F5,F6,F7,F8)        | SWRDY (F9,F0,F1,F2)                  
44        | READY (F3,F4,F5,F6,F7,F8)            | EXECUTING (F3,F4,F5,F6,F7,F8)        | SWRDY (F9,F0,F1,F2)                  
45        | READY (F3,F4,F5,F6,F7,F8)            | READY (F3,F4,F5,F6,F7,F8)            | SWRDY (F9,F0,F1,F2)                  
46        | EXECUTING (F3,F4,F5,F6,F7,F8)        | READY (F3,F4,F5,F6,F7,F8)            | SWRDY (F9,F0,F1,F2)                  
47        | ZOMBIE (F3,F4,F5,F6,F7,F8)           | READY (F3,F4,F5,F6,F7,F8)            | SWRDY (F9,F0,F1,F2)                  
48        | ZOMBIE (F3,F4,F5,F6,F7,F8)           | READY (F3,F4,F5,F6,F7,F8)            | SWRDY (F9,F0,F1,F2)                  
49        |                                      | READY (F3,F4,F5,F6,F7,F8)            | SWRDY (F9,F0,F1,F2)                  
50        |                                      | SWRDY (F4,F5,F6,F7,F8)               | EXECUTING (F9,F0,F1,F2,F3)           
51        |                                      | SWRDY (F4,F5,F6,F7,F8)               | EXECUTING (F9,F0,F1,F2,F3)           
52        |                                      | SWRDY (F4,F5,F6,F7,F8)               | EXECUTING (F9,F0,F1,F2,F3)           
53        |                                      | SWRDY (F4,F5,F6,F7,F8)               | INTERRUPTIBLE (F9,F0,F1,F2,F3)       
54        |                                      | SWRDY (F4,F5,F6,F7,F8)               | READY (F9,F0,F1,F2,F3)               
55        |                                      | SWRDY (F4,F5,F6,F7,F8)               | READY (F9,F0,F1,F2,F3)               
56        |                                      | EXECUTING (F4,F5,F6,F7,F8,F9)        | SWRDY (F0,F1,F2,F3)                  
57        |                                      | ZOMBIE (F4,F5,F6,F7,F8,F9)           | SWRDY (F0,F1,F2,F3)                  
58        |                                      | ZOMBIE (F4,F5,F6,F7,F8,F9)           | SWRDY (F0,F1,F2,F3)                  
59        |                                      |                                      | SWRDY (F0,F1,F2,F3)                  
60        |                                      |                                      | EXECUTING (F0,F1,F2,F3,F4)           
61        |                                      |                                      | ZOMBIE (F0,F1,F2,F3,F4)              
62        |                                      |                                      | ZOMBIE (F0,F1,F2,F3,F4)              
