time inst | th1                                  | th2                                  | th3                                  | th4                                  | th5                                  
1         |                                      |                                      | EXECUTING (F0,F1,F2,F3)              |                                      |                                      
2         |                                      |                                      | INTERRUPTIBLE (F0,F1,F2,F3)          |                                      |                                      
3         |                                      |                                      | INTERRUPTIBLE (F0,F1,F2,F3)          | READY (F0,F1,F2,F3)                  |                                      
4         |                                      |                                      | INTERRUPTIBLE (F0,F1,F2,F3)          | READY (F0,F1,F2,F3)                  | SWRDY ()                             
5         | SWRDY ()                             |                                      | INTERRUPTIBLE (F0,F1,F2,F3)          | READY (F0,F1,F2,F3)                  | SWRDY ()                             
6         | SWRDY ()                             |                                      | INTERRUPTIBLE (F0,F1,F2,F3)          | EXECUTING (F0,F1,F2,F3)              | SWRDY ()                             
7         | SWRDY ()                             |                                      | INTERRUPTIBLE (F0,F1,F2,F3)          | EXECUTING (F0,F1,F2,F3)              | SWRDY ()                             
8         | SWRDY ()                             |                                      | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F0,F1,F2,F3)          | SWRDY ()                             
9         | SWRDY ()                             |                                      | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F0,F1,F2,F3)          | SWRDY ()                             
10        | SWRDY ()                             | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F0,F1,F2,F3)          | SWRDY ()                             
11        | SWRDY ()                             | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F0,F1,F2,F3)          | EXECUTING (F4,F5,F6)                 
12        | SWRDY ()                             | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F4,F5,F6)             
13        | SWRDY ()                             | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F4,F5,F6)             
14        | SWRDY ()                             | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F4,F5,F6)             
15        | EXECUTING (F7,F8,F9)                 | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F4,F5,F6)             
16        | INTERRUPTIBLE (F7,F8,F9)             | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F4,F5,F6)             
17        | INTERRUPTIBLE (F7,F8,F9)             | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
18        | INTERRUPTIBLE (F7,F8,F9)             | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
