time inst | th1                                  | th2                                  | th3                                  | th4                                  | th5                                  | th6                                  | th7                                  
1         |                                      |                                      |                                      |                                      |                                      |                                      | EXECUTING (F0,F1,F2,F3,F4)           
2         |                                      |                                      | SWRDY ()                             |                                      |                                      |                                      | EXECUTING (F0,F1,F2,F3,F4)           
3         | SWRDY ()                             |                                      | SWRDY ()                             |                                      |                                      |                                      | EXECUTING (F0,F1,F2,F3,F4)           
4         | SWRDY ()                             |                                      | SWRDY ()                             | SWRDY ()                             |                                      |                                      | INTERRUPTIBLE (F0,F1,F2,F3,F4)       
5         | SWRDY ()                             |                                      | SWRDY ()                             | SWRDY ()                             |                                      | READY (F0,F1,F2,F3,F4)               | INTERRUPTIBLE (F0,F1,F2,F3,F4)       
6         | SWRDY ()                             |                                      | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | INTERRUPTIBLE (F0,F1,F2,F3,F4)       
7         | SWRDY ()                             | SWRDY ()                             | EXECUTING (F5,F6,F7)                 | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
8         | SWRDY ()                             | SWRDY ()                             | INTERRUPTIBLE (F5,F6,F7)             | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
9         | SWRDY ()                             | SWRDY ()                             | INTERRUPTIBLE (F5,F6,F7)             | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
10        | SWRDY ()                             | SWRDY ()                             | INTERRUPTIBLE (F5,F6,F7)             | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
11        | EXECUTING (F8,F9)                    | SWRDY ()                             | INTERRUPTIBLE (F5,F6,F7)             | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
12        | EXECUTING (F8,F9)                    | SWRDY ()                             | INTERRUPTIBLE (F5,F6,F7)             | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
13        | EXECUTING (F8,F9)                    | SWRDY ()                             | INTERRUPTIBLE (F5,F6,F7)             | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
14        | READY (F8,F9)                        | SWRDY ()                             | READY (F5,F6,F7)                     | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
15        | READY (F8,F9)                        | SWRDY ()                             | READY (F5,F6,F7)                     | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
16        | READY (F8,F9)                        | SWRDY ()                             | READY (F5,F6,F7)                     | SWRDY ()                             | SWRDY ()                             | READY (F0,F1,F2,F3,F4)               | READY (F0,F1,F2,F3,F4)               
17        | READY (F8,F9)                        | SWRDY ()                             | READY (F5,F6,F7)                     | EXECUTING (F0)                       | READY (F0)                           | SWRDY (F1,F2,F3,F4)                  | SWRDY (F1,F2,F3,F4)                  
18        | READY (F8,F9)                        | SWRDY ()                             | READY (F5,F6,F7)                     | INTERRUPTIBLE (F0)                   | READY (F0)                           | SWRDY (F1,F2,F3,F4)                  | SWRDY (F1,F2,F3,F4)                  
19        | READY (F8,F9)                        | SWRDY ()                             | READY (F5,F6,F7)                     | INTERRUPTIBLE (F0)                   | READY (F0)                           | SWRDY (F1,F2,F3,F4)                  | SWRDY (F1,F2,F3,F4)                  
20        | READY (F8,F9)                        | SWRDY ()                             | READY (F5,F6,F7)                     | INTERRUPTIBLE (F0)                   | READY (F0)                           | SWRDY (F1,F2,F3,F4)                  | SWRDY (F1,F2,F3,F4)                  
21        | READY (F8,F9)                        | SWRDY ()                             | SWRDY (F6,F7)                        | INTERRUPTIBLE (F0)                   | READY (F0)                           | EXECUTING (F1,F2,F3,F4,F5)           | READY (F1,F2,F3,F4,F5)               
22        | READY (F8,F9)                        | SWRDY ()                             | SWRDY (F6,F7)                        | INTERRUPTIBLE (F0)                   | READY (F0)                           | EXECUTING (F1,F2,F3,F4,F5)           | READY (F1,F2,F3,F4,F5)               
