time inst | th1                                  | th2                                  | th3                                  | th4                                  | th5                                  | th6                                  | th7                                  | th8                                  | th9                                  | th10                                 
1         | EXECUTING (F0,F1,F2,F3,F4,F5)        |                                      |                                      |                                      |                                      |                                      |                                      |                                      |                                      |                                      
2         | EXECUTING (F0,F1,F2,F3,F4,F5)        |                                      |                                      | SWRDY ()                             |                                      |                                      |                                      |                                      |                                      |                                      
3         | EXECUTING (F0,F1,F2,F3,F4,F5)        |                                      |                                      | SWRDY ()                             | SWRDY ()                             |                                      |                                      |                                      |                                      |                                      
4         | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             |                                      | SWRDY ()                             | SWRDY ()                             |                                      |                                      |                                      |                                      |                                      
5         | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             |                                      |                                      |                                      |                                      |                                      
6         | READY (F0,F1,F2,F3,F4,F5)            | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             |                                      |                                      |                                      |                                      | SWRDY ()                             
7         | SWRDY (F1,F2,F3,F4,F5)               | SWRDY ()                             | SWRDY ()                             | EXECUTING (F6,F7,F8,F9,F0)           | SWRDY ()                             |                                      |                                      |                                      | SWRDY ()                             | SWRDY ()                             
8         | SWRDY (F1,F2,F3,F4,F5)               | SWRDY ()                             | SWRDY ()                             | EXECUTING (F6,F7,F8,F9,F0)           | SWRDY ()                             |                                      |                                      |                                      | SWRDY ()                             | SWRDY ()                             
9         | SWRDY (F1,F2,F3,F4,F5)               | SWRDY ()                             | SWRDY ()                             | INTERRUPTIBLE (F6,F7,F8,F9,F0)       | SWRDY ()                             | SWRDY ()                             |                                      |                                      | SWRDY ()                             | SWRDY ()                             
10        | SWRDY (F1,F2,F3,F4,F5)               | SWRDY ()                             | SWRDY ()                             | READY (F6,F7,F8,F9,F0)               | SWRDY ()                             | SWRDY ()                             |                                      | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             
